#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK107	BRK108	BRK11	BRK110	BRK113	BRK116	BRK117	BRK12	BRK121	BRK122	BRK124	BRK125	BRK129	BRK13	BRK130	BRK132	BRK133	BRK137	BRK14	BRK140	BRK141	BRK145	BRK148	BRK149	BRK15	BRK153	BRK156	BRK157	BRK16	BRK161	BRK163	BRK164	BRK165	BRK169	BRK170	BRK171	BRK172	BRK173	BRK177	BRK178	BRK179	BRK180	BRK181	BRK185	BRK186	BRK187	BRK188	BRK19	BRK20	BRK21	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK97	BRK98	BRK99
OTU_3828	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	2	1	3	1	0	0	0	0	0	0	0	1	0	0	2	2	0	2	0	1	0	2	0	3	0	8	0	6	1	10	0	2	0	3	1	0	0	0	0	0	0
OTU_3829	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	7	10	15	180	24	56	31	18	8	5	4	68	1	39	55	28	37	130	25	17	13	30	6	51	0	0	0	0
OTU_3830	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	6	1	0	0	0	18	10	2	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_3831	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	133	0	40	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_3832	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	5	1	0	0	0	0	1	0	1	1	1	2	2	1	1	2	2	2	1	0	0	0	0
OTU_3833	0	2	4	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	7	9	8	0	24	1	13	24	24	2	16	3	0	3	0	8	6	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_3834	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3835	0	1	1	0	0	0	3	4	6	7	0	0	0	0	0	31	0	0	0	0	29	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	52	35	52	24	0	23	145	198	5	10	16	0	0	0	0	0	7	1	15	14	4	0	0	5	4	0	0	0
OTU_3836	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	1	1	0	0	1	2	14	1	4	1	2	1	0	18	7	0	1	11	0	1216	115	1	1	0	0	15	121	5	2	0	0	0	0
OTU_3837	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	19	2	0	0	0	0	0	2	0	0	0	1	0	0	2	7	0	4	0	21	0	7	1	4	0	0	0	1	0	17	0	2	0	14	0	4	0	0	0	0	0
