Taxonomy	R1_BRK01	R1_BRK02	R1_BRK03	R1_BRK04	R1_BRK05	R1_BRK06	R1_BRK07	R1_BRK08	R1_BRK09	R1_BRK10	R1_BRK100	R1_BRK101	R1_BRK102	R1_BRK103	R1_BRK104	R1_BRK105	R1_BRK106	R1_BRK107	R1_BRK108	R1_BRK109	R1_BRK11	R1_BRK110	R1_BRK111	R1_BRK112	R1_BRK113	R1_BRK114	R1_BRK115	R1_BRK116	R1_BRK117	R1_BRK118	R1_BRK119	R1_BRK12	R1_BRK120	R1_BRK121	R1_BRK122	R1_BRK123	R1_BRK124	R1_BRK125	R1_BRK126	R1_BRK127	R1_BRK128	R1_BRK129	R1_BRK13	R1_BRK130	R1_BRK131	R1_BRK132	R1_BRK133	R1_BRK134	R1_BRK135	R1_BRK136	R1_BRK137	R1_BRK138	R1_BRK139	R1_BRK14	R1_BRK140	R1_BRK141	R1_BRK142	R1_BRK143	R1_BRK144	R1_BRK145	R1_BRK147	R1_BRK148	R1_BRK149	R1_BRK15	R1_BRK150	R1_BRK151	R1_BRK152	R1_BRK154	R1_BRK155	R1_BRK156	R1_BRK157	R1_BRK158	R1_BRK159	R1_BRK16	R1_BRK160	R1_BRK161	R1_BRK162	R1_BRK164	R1_BRK165	R1_BRK166	R1_BRK167	R1_BRK168	R1_BRK169	R1_BRK17	R1_BRK171	R1_BRK172	R1_BRK173	R1_BRK174	R1_BRK175	R1_BRK176	R1_BRK177	R1_BRK178	R1_BRK179	R1_BRK18	R1_BRK180	R1_BRK181	R1_BRK182	R1_BRK183	R1_BRK184	R1_BRK185	R1_BRK186	R1_BRK187	R1_BRK188	R1_BRK189	R1_BRK19	R1_BRK190	R1_BRK191	R1_BRK192	R1_BRK20	R1_BRK21	R1_BRK22	R1_BRK23	R1_BRK24	R1_BRK25	R1_BRK26	R1_BRK27	R1_BRK28	R1_BRK29	R1_BRK30	R1_BRK31	R1_BRK32	R1_BRK33	R1_BRK34	R1_BRK35	R1_BRK36	R1_BRK37	R1_BRK38	R1_BRK39	R1_BRK40	R1_BRK41	R1_BRK42	R1_BRK43	R1_BRK44	R1_BRK45	R1_BRK46	R1_BRK47	R1_BRK48	R1_BRK49	R1_BRK50	R1_BRK51	R1_BRK52	R1_BRK53	R1_BRK54	R1_BRK55	R1_BRK56	R1_BRK57	R1_BRK58	R1_BRK59	R1_BRK60	R1_BRK61	R1_BRK62	R1_BRK63	R1_BRK64	R1_BRK65	R1_BRK66	R1_BRK67	R1_BRK68	R1_BRK69	R1_BRK70	R1_BRK71	R1_BRK72	R1_BRK73	R1_BRK74	R1_BRK75	R1_BRK76	R1_BRK77	R1_BRK78	R1_BRK79	R1_BRK80	R1_BRK81	R1_BRK82	R1_BRK83	R1_BRK84	R1_BRK85	R1_BRK86	R1_BRK87	R1_BRK88	R1_BRK89	R1_BRK90	R1_BRK91	R1_BRK92	R1_BRK93	R1_BRK94	R1_BRK95	R1_BRK96	R1_BRK97	R1_BRK98	R1_BRK99	R2_BRK01	R2_BRK02	R2_BRK03	R2_BRK04	R2_BRK05	R2_BRK06	R2_BRK07	R2_BRK08	R2_BRK09	R2_BRK10	R2_BRK100	R2_BRK101	R2_BRK102	R2_BRK103	R2_BRK104	R2_BRK105	R2_BRK106	R2_BRK107	R2_BRK108	R2_BRK109	R2_BRK11	R2_BRK110	R2_BRK111	R2_BRK112	R2_BRK113	R2_BRK114	R2_BRK115	R2_BRK116	R2_BRK117	R2_BRK118	R2_BRK119	R2_BRK12	R2_BRK120	R2_BRK121	R2_BRK122	R2_BRK123	R2_BRK124	R2_BRK125	R2_BRK126	R2_BRK127	R2_BRK128	R2_BRK129	R2_BRK13	R2_BRK130	R2_BRK131	R2_BRK132	R2_BRK133	R2_BRK134	R2_BRK135	R2_BRK136	R2_BRK137	R2_BRK138	R2_BRK139	R2_BRK14	R2_BRK140	R2_BRK141	R2_BRK142	R2_BRK143	R2_BRK144	R2_BRK145	R2_BRK147	R2_BRK148	R2_BRK149	R2_BRK15	R2_BRK150	R2_BRK151	R2_BRK152	R2_BRK154	R2_BRK155	R2_BRK156	R2_BRK157	R2_BRK158	R2_BRK159	R2_BRK16	R2_BRK160	R2_BRK161	R2_BRK162	R2_BRK164	R2_BRK165	R2_BRK166	R2_BRK167	R2_BRK168	R2_BRK169	R2_BRK17	R2_BRK171	R2_BRK172	R2_BRK173	R2_BRK174	R2_BRK175	R2_BRK176	R2_BRK177	R2_BRK178	R2_BRK179	R2_BRK18	R2_BRK180	R2_BRK181	R2_BRK182	R2_BRK183	R2_BRK184	R2_BRK185	R2_BRK186	R2_BRK187	R2_BRK188	R2_BRK189	R2_BRK19	R2_BRK190	R2_BRK191	R2_BRK192	R2_BRK20	R2_BRK21	R2_BRK22	R2_BRK23	R2_BRK24	R2_BRK25	R2_BRK26	R2_BRK27	R2_BRK28	R2_BRK29	R2_BRK30	R2_BRK31	R2_BRK32	R2_BRK33	R2_BRK34	R2_BRK35	R2_BRK36	R2_BRK37	R2_BRK38	R2_BRK39	R2_BRK40	R2_BRK41	R2_BRK42	R2_BRK43	R2_BRK44	R2_BRK45	R2_BRK46	R2_BRK47	R2_BRK48	R2_BRK49	R2_BRK50	R2_BRK51	R2_BRK52	R2_BRK53	R2_BRK54	R2_BRK55	R2_BRK56	R2_BRK57	R2_BRK58	R2_BRK59	R2_BRK60	R2_BRK61	R2_BRK62	R2_BRK63	R2_BRK64	R2_BRK65	R2_BRK66	R2_BRK67	R2_BRK68	R2_BRK69	R2_BRK70	R2_BRK71	R2_BRK72	R2_BRK73	R2_BRK74	R2_BRK75	R2_BRK76	R2_BRK77	R2_BRK78	R2_BRK79	R2_BRK80	R2_BRK81	R2_BRK82	R2_BRK83	R2_BRK84	R2_BRK85	R2_BRK86	R2_BRK87	R2_BRK88	R2_BRK89	R2_BRK90	R2_BRK91	R2_BRK92	R2_BRK93	R2_BRK94	R2_BRK95	R2_BRK96	R2_BRK97	R2_BRK98	R2_BRK99
Unassigned	3773.0	4501.0	4416.0	6583.0	2423.0	4045.0	3588.0	4842.0	5897.0	7389.0	22609.0	14413.0	20561.0	16779.0	28410.0	21585.0	33396.0	16350.0	31938.0	15830.0	2918.0	19726.0	7261.0	19160.0	14061.0	1291.0	4188.0	5603.0	28054.0	1017.0	1981.0	3914.0	5547.0	27315.0	17959.0	17394.0	23590.0	9756.0	10189.0	15266.0	8726.0	11603.0	251.0	34976.0	21932.0	20396.0	15509.0	41598.0	15707.0	12351.0	26203.0	5669.0	20855.0	2273.0	4379.0	18236.0	12757.0	1609.0	13163.0	14109.0	25182.0	15534.0	10391.0	5331.0	36647.0	24375.0	17581.0	28101.0	29094.0	25586.0	19904.0	21349.0	7675.0	1521.0	16596.0	18185.0	33708.0	1881.0	14028.0	8307.0	523.0	8588.0	11660.0	6478.0	9521.0	18211.0	15328.0	12174.0	746.0	17337.0	19282.0	21257.0	13361.0	2328.0	19979.0	23329.0	14494.0	20036.0	6364.0	9223.0	17389.0	12577.0	30883.0	1551.0	3540.0	2287.0	736.0	6307.0	5053.0	3385.0	3744.0	1188.0	9650.0	2664.0	908.0	3026.0	2840.0	4050.0	3738.0	651.0	9346.0	11769.0	8609.0	5716.0	31850.0	21046.0	27998.0	18512.0	5539.0	8909.0	9312.0	33186.0	25636.0	7377.0	2238.0	837.0	6564.0	4788.0	9847.0	8044.0	3238.0	20254.0	3447.0	10564.0	9532.0	7567.0	12012.0	20403.0	18388.0	854.0	14682.0	14453.0	7008.0	9388.0	8284.0	23615.0	9942.0	18905.0	14277.0	1571.0	18482.0	15502.0	20799.0	23130.0	11495.0	4356.0	15074.0	6085.0	26994.0	6147.0	10886.0	12109.0	15458.0	13632.0	23669.0	21677.0	19102.0	13633.0	21751.0	8668.0	17553.0	16953.0	369.0	961.0	9970.0	30247.0	34321.0	11341.0	3773.0	4501.0	4416.0	6583.0	2423.0	4045.0	3588.0	4842.0	5897.0	7389.0	22609.0	14413.0	20561.0	16779.0	28410.0	21585.0	33396.0	16350.0	31938.0	15830.0	2918.0	19726.0	7261.0	19160.0	14061.0	1291.0	4188.0	5603.0	28054.0	1017.0	1981.0	3914.0	5547.0	27315.0	17959.0	17394.0	23590.0	9756.0	10189.0	15266.0	8726.0	11603.0	251.0	34976.0	21932.0	20396.0	15509.0	41598.0	15707.0	12351.0	26203.0	5669.0	20855.0	2273.0	4379.0	18236.0	12757.0	1609.0	13163.0	14109.0	25182.0	15534.0	10391.0	5331.0	36647.0	24375.0	17581.0	28101.0	29094.0	25586.0	19904.0	21349.0	7675.0	1521.0	16596.0	18185.0	33708.0	1881.0	14028.0	8307.0	523.0	8588.0	11660.0	6478.0	9521.0	18211.0	15328.0	12174.0	746.0	17337.0	19282.0	21257.0	13361.0	2328.0	19979.0	23329.0	14494.0	20036.0	6364.0	9223.0	17389.0	12577.0	30883.0	1551.0	3540.0	2287.0	736.0	6307.0	5053.0	3385.0	3744.0	1188.0	9650.0	2664.0	908.0	3026.0	2840.0	4050.0	3738.0	651.0	9346.0	11769.0	8609.0	5716.0	31850.0	21046.0	27998.0	18512.0	5539.0	8909.0	9312.0	33186.0	25636.0	7377.0	2238.0	837.0	6564.0	4788.0	9847.0	8044.0	3238.0	20254.0	3447.0	10564.0	9532.0	7567.0	12012.0	20403.0	18388.0	854.0	14682.0	14453.0	7008.0	9388.0	8284.0	23615.0	9942.0	18905.0	14277.0	1571.0	18482.0	15502.0	20799.0	23130.0	11495.0	4356.0	15074.0	6085.0	26994.0	6147.0	10886.0	12109.0	15458.0	13632.0	23669.0	21677.0	19102.0	13633.0	21751.0	8668.0	17553.0	16953.0	369.0	961.0	9970.0	30247.0	34321.0	11341.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0.0	19.0	0.0	0.0	37.0	17.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	21.0	5.0	7.0	16.0	3.0	8.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	1.0	0.0	10.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	37.0	17.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	21.0	5.0	7.0	16.0	3.0	8.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	1.0	0.0	10.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	35.0	72.0	25.0	61.0	28.0	80.0	80.0	38.0	18.0	51.0	3.0	10.0	22.0	1.0	8.0	24.0	31.0	4.0	5.0	13.0	30.0	5.0	9.0	4.0	11.0	3.0	14.0	24.0	7.0	3.0	8.0	91.0	19.0	7.0	7.0	5.0	19.0	18.0	13.0	12.0	17.0	1.0	1.0	15.0	4.0	13.0	3.0	17.0	80.0	39.0	12.0	0.0	23.0	26.0	3.0	7.0	12.0	4.0	8.0	9.0	3.0	6.0	7.0	36.0	12.0	7.0	8.0	12.0	8.0	2.0	15.0	3.0	3.0	16.0	5.0	6.0	3.0	4.0	28.0	18.0	3.0	8.0	5.0	15.0	1.0	10.0	1.0	5.0	0.0	2.0	6.0	6.0	1.0	16.0	14.0	12.0	4.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	50.0	17.0	1.0	7.0	39.0	40.0	20.0	11.0	21.0	7.0	10.0	30.0	55.0	26.0	34.0	0.0	80.0	14.0	14.0	5.0	11.0	6.0	17.0	39.0	40.0	28.0	15.0	14.0	11.0	10.0	16.0	2.0	5.0	18.0	37.0	48.0	18.0	12.0	23.0	13.0	11.0	5.0	12.0	41.0	30.0	1.0	23.0	27.0	31.0	16.0	19.0	22.0	26.0	40.0	18.0	9.0	16.0	10.0	9.0	14.0	14.0	21.0	45.0	10.0	20.0	16.0	29.0	19.0	21.0	33.0	22.0	13.0	42.0	12.0	27.0	25.0	24.0	9.0	1.0	4.0	5.0	13.0	6.0	1.0	35.0	72.0	25.0	61.0	28.0	80.0	80.0	38.0	18.0	51.0	3.0	10.0	22.0	1.0	8.0	24.0	31.0	4.0	5.0	13.0	30.0	5.0	9.0	4.0	11.0	3.0	14.0	24.0	7.0	3.0	8.0	91.0	19.0	7.0	7.0	5.0	19.0	18.0	13.0	12.0	17.0	1.0	1.0	15.0	4.0	13.0	3.0	17.0	80.0	39.0	12.0	0.0	23.0	26.0	3.0	7.0	12.0	4.0	8.0	9.0	3.0	6.0	7.0	36.0	12.0	7.0	8.0	12.0	8.0	2.0	15.0	3.0	3.0	16.0	5.0	6.0	3.0	4.0	28.0	18.0	3.0	8.0	5.0	15.0	1.0	10.0	1.0	5.0	0.0	2.0	6.0	6.0	1.0	16.0	14.0	12.0	4.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	50.0	17.0	1.0	7.0	39.0	40.0	20.0	11.0	21.0	7.0	10.0	30.0	55.0	26.0	34.0	0.0	80.0	14.0	14.0	5.0	11.0	6.0	17.0	39.0	40.0	28.0	15.0	14.0	11.0	10.0	16.0	2.0	5.0	18.0	37.0	48.0	18.0	12.0	23.0	13.0	11.0	5.0	12.0	41.0	30.0	1.0	23.0	27.0	31.0	16.0	19.0	22.0	26.0	40.0	18.0	9.0	16.0	10.0	9.0	14.0	14.0	21.0	45.0	10.0	20.0	16.0	29.0	19.0	21.0	33.0	22.0	13.0	42.0	12.0	27.0	25.0	24.0	9.0	1.0	4.0	5.0	13.0	6.0	1.0
k__Bacteria;p__Actinobacteriota	5.0	7.0	5.0	20.0	5.0	4.0	20.0	10.0	8.0	8.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	14.0	4.0	13.0	0.0	0.0	0.0	4.0	2.0	3.0	2.0	11.0	0.0	8.0	4.0	4.0	0.0	1.0	2.0	3.0	7.0	5.0	1.0	3.0	3.0	3.0	1.0	0.0	0.0	0.0	3.0	8.0	7.0	3.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	4.0	10.0	3.0	4.0	2.0	3.0	6.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0	1.0	11.0	2.0	0.0	0.0	3.0	1.0	7.0	2.0	9.0	1.0	3.0	1.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	5.0	20.0	5.0	4.0	20.0	10.0	8.0	8.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	14.0	4.0	13.0	0.0	0.0	0.0	4.0	2.0	3.0	2.0	11.0	0.0	8.0	4.0	4.0	0.0	1.0	2.0	3.0	7.0	5.0	1.0	3.0	3.0	3.0	1.0	0.0	0.0	0.0	3.0	8.0	7.0	3.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	4.0	10.0	3.0	4.0	2.0	3.0	6.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0	1.0	11.0	2.0	0.0	0.0	3.0	1.0	7.0	2.0	9.0	1.0	3.0	1.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	6.0	5.0	8.0	2.0	1.0	7.0	5.0	8.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	7.0	1.0	1.0	13.0	1.0	10.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	4.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.0	8.0	2.0	1.0	7.0	5.0	8.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	7.0	1.0	1.0	13.0	1.0	10.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	4.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
