SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
33	R2_BRK4	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Human	B	HumanB	EP1199 HumanB	DUP17									
31	R2_BRK5	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Human	A	HumanA	EP1199 HumanA	DUP19									
30	R2_BRK6	1	2	3	Rapeseed	n	n	Fermented	EP100	Human	C	HumanC	EP100 HumanC	DUP21									
29	R2_BRK7	1	2	3	Rapeseed	n		Fermented	EP100	Human	C	HumanC	EP100 HumanC	DUP21									
27	R2_BRK8	1	2	3	Rapeseed	n	n	Fermented	EP100	Human	B	HumanB	EP100 HumanB	DUP121									
2	R2_BRK9	1	2	3	Rapeseed	n	n	Unfermented	C100	Human	A	HumanA	C100 HumanA	DUP54									
4	R2_BRK10	1	2	3	Rapeseed	n	n	Unfermented	C100	Human	B	HumanB	C100 HumanB	DUP53									
10	R2_BRK11	1	2	3	Rapeseed + Seaweed	n	y	Unfermented	C1199	Human	B	HumanB	C1199 HumanB	DUP122									
22	R2_BRK12	1	2	3	Soybean + Seaweed	n	y	Unfermented	C2299	Human	B	HumanB	C2299 HumanB	DUP123									
104	R2_BRK13	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	A	HumanA	XYL2 EP200 HumanA	DUP56									
95	R2_BRK14	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL2 EP100	Human	C	HumanC	XYL2 EP100 HumanC	DUP124									
51	R2_BRK15	1	2	3	Xylan	y	n	Unfermented	XYL1	Human	B	HumanB	XYL1 HumanB	DUP59									
125	R2_BRK16	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Human	C	HumanC	XYLC EP1199 HumanC	DUP125									
123	R2_BRK17	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Human	B	HumanB	XYLC EP1199 HumanB	DUP49									
63	R2_BRK18	1	2	3	Xylan	y	n		XYLC	Human	B	HumanB	XYLC HumanB	DUP10									
91	R2_BRK19	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Human	A	HumanA	EP1199 HumanA	DUP19									
60	R2_BRK20	1	2	3	Xylan	y	n		XYL2	Human	C	HumanC	XYL2 HumanC	DUP58									
79	R2_BRK21	1	2	3	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Human	A	HumanA	XYL1 EP200 HumanA	DUP7									
126	R2_BRK22	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Human	C	HumanC	XYLC EP1199 HumanC	DUP125									
5n	R2_BRK23	1	2	3									 	DUP126									
5p	R2_BRK24	1	2	3									 	DUP126									
21	R2_BRK25	1	2	3	Soybean + Seaweed	n	y	Unfermented	C2299	Human	B	HumanB	C2299 HumanB	DUP123									
109	R2_BRK26	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Human	A	HumanA	XYL2 EP2299 HumanA	DUP2									
101	R2_BRK27	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Human	C	HumanC	XYL2 EP1199 HumanC	DUP57									
69	R2_BRK28	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL1 EP100	Human	B	HumanB	XYL1 EP100 HumanB	DUP36									
13	R2_BRK29	1	2	3	Soybean	n	n	Unfermented	C200	Human	A	HumanA	C200 HumanA	DUP127									
14	R2_BRK30	1	2	3	Soybean	n	n	Unfermented	C200	Human	A	HumanA	C200 HumanA	DUP127									
127	R2_BRK31	1	2	3	Xylan + Soybean	y	n	Fermented	XYLC EP200	Human	A	HumanA	XYLC EP200 HumanA	DUP39									
131	R2_BRK32	1	2	3	Xylan + Soybean	y	n	Fermented	XYLC EP200	Human	C	HumanC	XYLC EP200 HumanC	DUP128									
47	R2_BRK33	1	2	3	Soybean + Seaweed	n	y	Fermented	EP2299	Human	C	HumanC	EP2299 HumanC	DUP41									
41	R2_BRK34	1	2	3	Soybean	n	n	Fermented	EP200	Human	C	HumanC	EP200 HumanC	DUP129									
9	R2_BRK35	1	2	3	Rapeseed	n	n	Unfermented	C100	Human	B	HumanB	C100 HumanB	DUP53									
108	R2_BRK36	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	C	HumanC	XYL2 EP200 HumanC	DUP130									
107	R2_BRK37	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	C	HumanC	XYL2 EP200 HumanC	DUP130									
106	R2_BRK38	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	B	HumanB	XYL2 EP200 HumanB	DUP3									
89	R2_BRK39	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Human	C	HumanC	XYL1 EP2299 HumanC	DUP131									
40	R2_BRK40	1	2	3	Soybean	n	n	Fermented	EP200	Human	B	HumanB	EP200 HumanB	DUP42									
98	R2_BRK41	1	2	3	Soybean	n	n	Fermented	EP200	Human	A	HumanA	EP200 HumanA	DUP51									
28	R2_BRK42	1	2	3	Rapeseed	n	n	Fermented	EP100	Human	B	HumanB	EP100 HumanB	DUP121									
5	R2_BRK43	1	2	3	Rapeseed	n	n	Unfermented	C100	Human	A	HumanA	C100 HumanA	DUP54									
72	R2_BRK44	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL1 EP100	Human	C	HumanC	XYL1 EP100 HumanC	DUP33									
17	R2_BRK45	1	2	3	Soybean	n	n	Unfermented	C200	Human	C	HumanC	C200 HumanC	DUP27									
42	R2_BRK46	1	2	3	Soybean	n	n	Fermented	EP200	Human	C	HumanC	EP200 HumanC	DUP129									
6n	R2_BRK47	1	2	3									 	DUP126									
6p	R2_BRK48	1	2	3									 	DUP126									
194	R2_BRK49	1	2	3	Xylan	y	n		XYL2	Pig	A	PigA	XYL2 PigA	DUP102									
196	R2_BRK50	1	2	3	Xylan	y	n		XYL2	Pig	B	PigB	XYL2 PigB	DUP132									
195	R2_BRK51	1	2	3	Xylan	y	n		XYL2	Pig	B	PigB	XYL2 PigB	DUP132									
242	R2_BRK52	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Pig	A	PigA	XYL2 EP200 PigA	DUP68									
243	R2_BRK53	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200 	Pig	B	PigB	XYL2 EP200  PigB	DUP133									
231	R2_BRK54	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL2 EP100	Pig	B	PigB	XYL2 EP100 PigB	DUP88									
249	R2_BRK55	1	2	3	Xylan + Soybean	y		Fermented	XYL2 EP2299	Pig	B	PigB	XYL2 EP2299 PigB	DUP86									
235	R2_BRK56	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Pig	A	PigA	XYL2 EP1199 PigA	DUP100									
222	R2_BRK57	1	2	3	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Pig	C	PigC	XYL1 EP200 PigC	DUP74									
219	R2_BRK58	1	2	3	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Pig	B	PigB	XYL1 EP200 PigB	DUP134									
187	R2_BRK59	1	2	3	Xylan	y	n		XYL1 	Pig	C	PigC	XYL1  PigC	DUP135									
191	R2_BRK60	1	2	3	Xylan	y	n		XYL1 	Pig	C	PigC	XYL1  PigC	DUP135									
230	R2_BRK61	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL2 EP100	Pig	A	PigA	XYL2 EP100 PigA	DUP87									
188	R2_BRK62	1	2	3	Xylan	y	n		Xyl1	Pig	A	PigA	Xyl1 PigA	DUP136									
209	R2_BRK63	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL1 EP100	Pig	C	PigC	XYL1 EP100 PigC	DUP73									
205	R2_BRK64	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYL1 EP100	Pig	A	PigA	XYL1 EP100 PigA	DUP105									
167	R2_BRK65	1	2	3	Rapeseed	n	n	Fermented	EP100	Pig	C	PigC	EP100 PigC	DUP64									
165	R2_BRK66	1	2	3	Rapeseed	n	n	Fermented	EP100	Pig	B	PigB	EP100 PigB	DUP137									
141	R2_BRK67	1	2	3	Rapeseed	n	n	Unfermented	C100	Pig	B	PigB	C100 PigB	DUP83									
186	R2_BRK68	1	2	3	Soybean + Seaweed	n	y	Fermented	EP2299	Pig	C	PigC	EP2299 PigC	DUP62									
173	R2_BRK69	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Pig	C	PigC	EP1199 PigC	DUP138									
170	R2_BRK70	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Pig	A	PigA	EP1199 PigA	DUP61									
P1N	R2_BRK71	1	2	3									 	DUP126									
P1P	R2_BRK72	1	2	3									 	DUP126									
171	R2_BRK73	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Pig	B	PigB	EP1199 PigB	DUP139									
200	R2_BRK74	1	2	3	Xylan	y	n		XYLC	Pig	A	PigA	XYLC PigA	DUP140									
255	R2_BRK75	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYLC EP100	Pig	B	PigB	XYLC EP100 PigB	DUP141									
275	R2_BRK76	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Pig	C	PigC	XYLC EP2299 PigC	DUP93									
262	R2_BRK77	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Pig	B	PigB	XYLC EP1199 PigB	DUP75									
240	R2_BRK78	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Pig	C	PigC	XYL2 EP1199 PigC	DUP67									
198	R2_BRK79	1	2	3	Xylan	y	n		XYL2	Pig	C	PigC	XYL2 PigC	DUP101									
252	R2_BRK80	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Pig	C	PigC	XYL2 EP2299 PigC	DUP119									
246	R2_BRK81	1	2	3	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Pig	C	PigC	XYL2 EP200 PigC	DUP114									
228	R2_BRK82	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Pig	C	PigC	XYL1 EP2299 PigC	DUP89									
225	R2_BRK83	1	2	3	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Pig	B	PigB	XYL1 EP2299 PigB	DUP71									
217	R2_BRK84	1	2	3	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Pig	A	PigA	XYL1 EP200 PigA	DUP142									
199	R2_BRK85	1	2	3	Xylan	y	n		XYLC	Pig	A	PigA	XYLC PigA	DUP140									
203	R2_BRK86	1	2	3	Xylan	y	n		XYLC	Pig	C	PigC	XYLC PigC	DUP106									
257	R2_BRK87	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYLC EP100	Pig	C	PigC	XYLC EP100 PigC	DUP79									
253	R2_BRK88	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYLC EP100	Pig	A	PigA	XYLC EP100 PigA	DUP92									
256	R2_BRK89	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYLC EP100	Pig	B	PigB	XYLC EP100 PigB	DUP141									
269	R2_BRK90	1	2	3	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Pig	C	PigC	XYLC EP1199 PigC	DUP91									
147	R2_BRK91	1	2	3	Rapeseed + Seaweed	n	y	Unfermented	C1199	Pig	B	PigB	C1199 PigB	DUP111									
150	R2_BRK92	1	2	3	Rapeseed + Seaweed	n	y	Unfermented	C1199	Pig	C	PigC	C1199 PigC	DUP97									
174	R2_BRK93	1	2	3	Rapeseed + Seaweed	n	y	Fermented	EP1199	Pig	C	PigC	EP1199 PigC	DUP138									
PCR C	R2_BRK94	1	2	3																			
P2N	R2_BRK95	1	2	3																			
P2P	R2_BRK96	1	2	3																			
