SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
2n	BRK47	1	1	1			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
2p	BRK48	1	1	1			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
128	BRK49	1	1	1	Xylan + Soybean	y	n	Fermented	XYLC EP200	Human	A	HumanA	XYLC EP200 HumanA	DUP39									
122	BRK50	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Human	A	HumanA	XYLC EP1199 HumanA	DUP40									
119	BRK51	1	1	1	Xylan + Rapeseed	y	n	Fermented	XYC EP100	Human	C	HumanC	XYC EP100 HumanC	DUP11									
48	BRK52	1	1	1	Soybean + Seaweed	n	y	Fermented	EP2299	Human	C	HumanC	EP2299 HumanC	DUP41									
39	BRK53	1	1	1	Soybean	n	n	Fermented	EP200	Human	B	HumanB	EP200 HumanB	DUP42									
7	BRK54	1	1	1	Rapeseed + Seaweed	n	y	Unfermented	C1199	Human	A	HumanA	C1199 HumanA	DUP43									
50	BRK55	1	1	1	Xylan	y	n	Unfermented	XYL1	Human	A	HumanA	XYL1 HumanA	DUP44									
97	BRK56	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Human	A	HumanA	XYL2 EP1199 HumanA	DUP45									
81	BRK57	1	1	1	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Human	B	HumanB	XYL1 EP200 HumanB	DUP46									
76	BRK58	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Human	B	HumanB	XYL1 EP1199 HumanB	DUP4									
78	BRK59	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Human	C	HumanC	XYL1 EP1199 HumanC	DUP8									
88	BRK60	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Human	B	HumanB	XYL1 EP2299 HumanB	DUP47									
73	BRK61	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Human	A	HumanA	XYL1 EP1199 HumanA	DUP35									
135	BRK62	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Human	B	HumanB	XYLC EP2299 HumanB	DUP48									
124	BRK63	1	1	1	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Human	B	HumanB	XYLC EP1199 HumanB	DUP49									
138	BRK64	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Human	C	HumanC	XYLC EP2299 HumanC	DUP50									
117	BRK65	1	1	1	Xylan + Rapeseed	y	n	Fermented	XYC EP100	Human	B	HumanB	XYC EP100 HumanB	DUP38									
134	BRK66	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Human	A	HumanA	XYLC EP2299 HumanA	DUP13									
66	BRK67	1	1	1	Xylan	y	n	Unfermented	XYLC	Human	C	HumanC	XYLC HumanC	DUP37									
49	BRK68	1	1	1	Soybean + Seaweed	n	y	Fermented	EP2299	Human	A	HumanA	EP2299 HumanA	DUP14									
46	BRK69	1	1	1	Soybean + Seaweed	n	y	Fermented	EP2299	Human	B	HumanB	EP2299 HumanB	DUP15									
37	BRK70	1	1	1	Soybean	n	n	Fermented	EP200	Human	A	HumanA	EP200 HumanA	DUP51									
