#OTU ID	Taxonomy	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK103	BRK104	BRK105	BRK106	BRK107	BRK108	BRK109	BRK11	BRK110	BRK111	BRK112	BRK113	BRK114	BRK115	BRK116	BRK117	BRK118	BRK119	BRK12	BRK120	BRK121	BRK122	BRK123	BRK124	BRK125	BRK126	BRK127	BRK128	BRK129	BRK13	BRK130	BRK131	BRK132	BRK133	BRK134	BRK135	BRK136	BRK137	BRK138	BRK139	BRK14	BRK140	BRK141	BRK142	BRK143	BRK144	BRK145	BRK147	BRK148	BRK149	BRK15	BRK150	BRK151	BRK152	BRK154	BRK155	BRK156	BRK157	BRK158	BRK159	BRK16	BRK160	BRK161	BRK162	BRK164	BRK165	BRK166	BRK167	BRK168	BRK169	BRK17	BRK171	BRK172	BRK173	BRK174	BRK175	BRK176	BRK177	BRK178	BRK179	BRK18	BRK180	BRK181	BRK182	BRK183	BRK184	BRK185	BRK186	BRK187	BRK188	BRK189	BRK19	BRK190	BRK191	BRK192	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96	BRK97	BRK98	BRK99
OTU_3297	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lactobacillus_paracasei	2	4	10	13	1	1	0	5	107	21	3	1	3	5	9	6	5	9	2	5	2	10	3	6	4	1	0	5	2	0	3	7	3059	3	6	4	6	10	5	7	4	2	0	3	8	10	7	5	6	2	2	1	5	1	0	6	3	0	1902	8	7	5	7	18	3	10	4	7	7	6	7	3	2	4	4	1	1	0	2	4	0	915	6	3	1	4	5	4	0	5	8	7	3	2	7	5	4	5	5	7	4	1	8	0	4	0	0	2830	3	3	7	4	4378	2	2	0	3	2	4	0	2	14	10	5	5	3	8	2	6	2	5	7	2	5	1	0	1231	1	1	6	2	2	1	0	2	4	2	0	13	0	48	26	12	19	3	1	5	26	2	3	6852	3	3	3	2	5	516	11	2	1	5	4	75	4	5	1	1	12	270	489	4	104	0	2	1112	3	6	4
OTU_3298	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	211	9	6	10	9	14	1	0	50	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	24	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	7	1	0	0	0	1	0	2	0	0	18	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	30	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	1	0	0	0	0	0	1	0	0	13	251	335	49	522	6	13	12	5	107	48	44	8	5	12	2	0	1	8	19	11	3	24	3	97	44	32	41	2	31	1	10	1	0	8	21	1	17	4	20	0	2	11	9	24	3	70	21	6	6	54	24	7	8	8	19	19	13	34	12	11	10	8	0	0	0	0	0	0
OTU_3299	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	9	0	0	4	1	0	0	0	0	1	0	9	3	0	0	0	0	0	0	21	0	0	0	0	4	1	0	0	1	10	1	0	0	0	11	10	0	1	0	0	1	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3300	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Escherichia_coli	1	2	0	0	0	0	0	0	0	0	6	3	5	0	8	2	3	0	5	6	1	8	38	7	2	0	3	0	4	0	0	0	26	2	2	0	6	0	1	20	2	7	0	10	10	29	5	34	8	12	3	0	15	0	3	3	2	0	99	3	21	7	1	3	4	17	8	2	2	3	12	1	17	1	0	9	3	0	0	0	0	49	17	1	0	0	1	0	0	0	12	5	5	0	27	5	3	0	0	1	1	4	0	0	0	0	0	29	0	0	0	0	48	0	0	0	0	0	1	0	2	0	2	0	0	0	2	1	1	0	3	0	1	1	0	0	86	3	0	0	0	1	2	0	1	0	1	0	2	0	1	8	0	1	0	0	2	13	3	2	111	1	1	1	2	0	5	0	1	0	2	3	5	0	1	0	0	3	20	8	1	1	0	0	52	17	9	0
OTU_3301	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	1	2	0	2	0	2	3	1	1	1	0	2	1	1	0	3	1	0	0	2	1	0	0	0	1	0	5	1	1	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	3	2	0	0	1	0	0	1	1	0	1	0	0	1	2	0	3	1	0	1	0	2	5	2	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	1	0	1	0	4	3	2	1	1	0	14	12	4	4	2	5	3	3	0	2	0	2	2	0	0	1	1	0	1	1	2	14	20	1	7	26	0	9	3	1	5	2	37	0	0	30	15	17	24	5	2	0	18	6	5	7	1	18	9	3	4	1	1	0	7	0	0	0	0	0	2	0
OTU_3302	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	1	0	0	0	2	2	0	0	90	5	51	32	5	1	3	1	2	8	3	71	2	10	1	5	0	1	7	0	0	0	2	18	1	1	1	3	36	1	34	4	0	5	8	8	143	17	63	40	107	34	1	0	0	6	138	0	0	2	3	0	56	0	4	2	9	34	109	4	1	12	0	1	2	5	13	0	5	5	0	0	0	0	0	2	8	13	0	5	7	0	2	0	1	1	4	4	0	2	7	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	2	2	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	131	0
OTU_3303	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes	0	0	4	0	1	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	12	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3304	Unassigned	26	107	218	127	242	12	61	214	425	103	0	9	1	0	0	3	2	8	7	3	99	0	0	1	17	3	16	40	3	13	24	337	0	1	5	3	1	5	1	4	2	0	5	0	2	3	1	1	2	0	0	0	2	58	0	5	1	13	1	2	4	0	3	80	1	2	1	1	1	1	2	4	0	76	2	1	0	5	15	24	10	0	1	256	4	5	6	0	0	2	1	2	0	107	3	0	1	0	0	1	5	2	1	4	105	19	8	0	190	57	168	14	0	105	47	51	72	98	155	0	28	138	131	15	43	154	32	106	81	76	5	5	8	2	17	7	0	12	13	576	33	6	21	6	63	5	3	10	32	3	990	554	962	274	272	262	228	105	159	20	2	134	36	44	279	34	245	34	57	38	105	74	189	392	110	300	47	13	94	158	241	349	4	13	2	1	3	3
OTU_3305	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	11	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_3306	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	1	2	2	1	0	0	0	4	3	6	0	2	1	0	3	0	0	2	0	2	2	0	0	0	6	1	5	14	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	4	2	4	3	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	2	2	0	1	1	7	2	0	6	0	0	2	0	0	1	0	1	0	2	1	2	0	0	1	2	1	0	6	0	2	0	0	5	0	1	1	0	2	2	4	0	0	3	1	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	2	0	1	0	1	0	0	1	1
