F;BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN;SEAWEED;FERMENTED;SUBSTRATE;ANIMAL;DONOR;UNIQUES;UNIQUES2;BIOLEC
227;BRK133;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Pig;C;XYL1 EP2299 PigC;XYL1 EP2299 PigC 227;B4
228;BRK82;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Pig;C;XYL1 EP2299 PigC;XYL1 EP2299 PigC 228;B2
229;BRK131;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP100;Pig;A;XYL2EP100 PigA;XYL2EP100 PigA 229;B4
230;BRK156;2;1;2;XylanRapeseed;y;y;Fermented;XYL2EP100;Pig;A;XYL2EP100 PigA;XYL2EP100 PigA 230;B1
230;BRK61;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP100;Pig;A;XYL2EP100 PigA;XYL2EP100 PigA 230;B5
231;BRK54;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP100;Pig;B;XYL2EP100 PigB;XYL2EP100 PigB 231;B1
232;BRK132;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP100;Pig;B;XYL2EP100 PigB;XYL2EP100 PigB 232;B4
233;BRK102;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP100;Pig;C;XYL2EP100 PigC;XYL2EP100 PigC 233;B3
234;BRK155;2;1;2;XylanRapeseed;y;y;Fermented;XYL2EP100;Pig;C;XYL2EP100 PigC;XYL2EP100 PigC 234;B5
235;BRK56;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Pig;A;XYL2EP1199 PigA;XYL2EP1199 PigA 235;B1
236;BRK152;2;1;2;XylanRapeseed;y;y;Fermented;XYL2EP1199;Pig;A;XYL2EP1199 PigA;XYL2EP1199 PigA 236;B5
237;BRK157;2;1;2;XylanRapeseed;y;y;Fermented;XYL2EP1199;Pig;B;XYL2EP1199 PigB;XYL2EP1199 PigB 237;B5
238;BRK129;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Pig;B;XYL2EP1199 PigB;XYL2EP1199 PigB 238;B4
239;BRK103;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Pig;C;XYL2EP1199 PigC;XYL2EP1199 PigC 239;B3
240;BRK78;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYL2EP1199;Pig;C;XYL2EP1199 PigC;XYL2EP1199 PigC 240;B2
241;BRK104;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP200;Pig;A;XYL2EP200 PigA;XYL2EP200 PigA 241;B3
242;BRK52;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Pig;A;XYL2EP200 PigA;XYL2EP200 PigA 242;B1
243;BRK53;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200 ;Pig;B;XYL2EP200  PigB;XYL2EP200  PigB 243;B1
244;BRK175;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP200;Pig;B;XYL2EP200 PigB;XYL2EP200 PigB 244;B6M
245;BRK174;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP200;Pig;C;XYL2EP200 PigC;XYL2EP200 PigC 245;B6M
246;BRK81;1;2;3;XylanSoybean;y;n;Fermented;XYL2EP200;Pig;C;XYL2EP200 PigC;XYL2EP200 PigC 246;B2
247;BRK179;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Pig;A;XYL2EP2299 PigA;XYL2EP2299 PigA 247;B6M
249;BRK55;1;2;3;XylanSoybean;y;;Fermented;XYL2EP2299;Pig;B;XYL2EP2299 PigB;XYL2EP2299 PigB 249;B1
250;BRK130;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Pig;B;XYL2EP2299 PigB;XYL2EP2299 PigB 250;B4
251;BRK187;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Pig;C;XYL2EP2299 PigC;XYL2EP2299 PigC 251;B6M
252;BRK80;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL2EP2299;Pig;C;XYL2EP2299 PigC;XYL2EP2299 PigC 252;B2
253;BRK88;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP100;Pig;A;XYLCEP100 PigA;XYLCEP100 PigA 253;B2
254;BRK136;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP100;Pig;A;XYLCEP100 PigA;XYLCEP100 PigA 254;B4
255;BRK75;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP100;Pig;B;XYLCEP100 PigB;XYLCEP100 PigB 255;B2
256;BRK89;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP100;Pig;B;XYLCEP100 PigB;XYLCEP100 PigB 256;B2
257;BRK87;1;2;3;XylanSoybean;y;n;Fermented;XYLCEP100;Pig;C;XYLCEP100 PigC;XYLCEP100 PigC 257;B2
258;BRK121;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP100;Pig;C;XYLCEP100 PigC;XYLCEP100 PigC 258;B4
259;BRK117;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;A;XYLCEP1199 PigA;XYLCEP1199 PigA 259;B3
260;BRK114;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;A;XYLCEP1199 PigA;XYLCEP1199 PigA 260;B3
261;BRK113;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;B;XYLCEP1199 PigB;XYLCEP1199 PigB 261;B3
262;BRK77;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;B;XYLCEP1199 PigB;XYLCEP1199 PigB 262;B2
263;BRK137;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;C;XYLCEP1199 PigC;XYLCEP1199 PigC 263;B4
264;BRK135;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;C;XYLCEP1199 PigC;XYLCEP1199 PigC 264;B4
265;BRK188;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP200;Pig;A;XYLCEP200 PigA;XYLCEP200 PigA 265;B6M
266;BRK166;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP200;Pig;A;XYLCEP200 PigA;XYLCEP200 PigA 266;B5
267;BRK116;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP200;Pig;B;XYLCEP200 PigB;XYLCEP200 PigB 267;B3
269;BRK90;1;2;3;XylanRapeseedSeaweed;y;y;Fermented;XYLCEP1199;Pig;C;XYLCEP1199 PigC;XYLCEP1199 PigC 269;B2
271;BRK165;2;1;2;XylanSoybean;y;y;Fermented;XYLCEP2299;Pig;A;XYLCEP2299 PigA;XYLCEP2299 PigA 271;B5
272;BRK182;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Pig;A;XYLCEP2299 PigA;XYLCEP2299 PigA 272;B6M
273;BRK115;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Pig;B;XYLCEP2299 PigB;XYLCEP2299 PigB 273;B3
274;BRK118;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Pig;B;XYLCEP2299 PigB;XYLCEP2299 PigB 274;B3
275;BRK76;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Pig;C;XYLCEP2299 PigC;XYLCEP2299 PigC 275;B2
276;BRK138;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYLCEP2299;Pig;C;XYLCEP2299 PigC;XYLCEP2299 PigC 276;B4
1n;BRK23;1;1;1;NEGATIVE;NEGATIVE;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 1n;
1p;BRK24;1;1;1;POSTIVE;POSTIVE;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 1p;
2n;BRK47;1;1;1;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 2n;
2p;BRK48;1;1;1;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 2p;
3n;BRK71;1;1;1;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 3n;
3p;BRK72;1;1;1;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 3p;
4n;BRK95;1;1;1;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 4n;
4p;BRK96;1;1;1;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 4p;
5n;BRK23;1;2;3;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 5n;
5p;BRK24;1;2;3;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 5p;
6n;BRK47;1;2;3;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE 6n;
6p;BRK48;1;2;3;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE 6p;
P1N;BRK71;1;2;3;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P1N;
P1P;BRK72;1;2;3;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P1P;
P2N;BRK95;1;2;3;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P2N;
P2P;BRK96;1;2;3;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P2P;
P3N;BRK119;2;1;2;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P3N;
P3P;BRK120;2;1;2;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P3P;
P4N;BRK143;2;1;2;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P4N;
P4P;BRK144;2;1;2;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P4P;
P5N;BRK167;2;1;2;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P5N;
P5P;BRK168;2;1;2;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P5P;
P6N;BRK191;2;1;2;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE P6N;
P6P;BRK192;2;1;2;POSTIVE;POSTIVE;POSTIVE;POSTIVE;POSITIVE;POSTIVE;POSTIVE;POSITIVE POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE P6P;
PCR C;BRK94;1;1;1;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON PCRCONPCRCON;PCRCON PCRCONPCRCON PCR C;
PCR C;BRK190;2;1;2;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON PCRCONPCRCON;PCRCON PCRCONPCRCON PCR C;
PCR C;BRK94;1;2;3;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON;PCRCON PCRCONPCRCON;PCRCON PCRCONPCRCON PCR C;
277;BRK01;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;A1;DAYZERO HumanA1;DAYZERO HumanA1 277;277
278;BRK02;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;A2;DAYZERO HumanA2;DAYZERO HumanA2 278;278
279;BRK03;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;B1;DAYZERO HumanB1;DAYZERO HumanB1 279;279
280;BRK04;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;B2;DAYZERO HumanB2;DAYZERO HumanB2 280;280
281;BRK05;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;C1;DAYZERO HumanC1;DAYZERO HumanC1 281;281
282;BRK06;1;3;4;HFEC;n;n;DAYZERO;NONE;Human;C2;DAYZERO HumanC2;DAYZERO HumanC2 282;282
283;BRK07;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;A1;DAYZERO PigA1;DAYZERO PigA1 283;283
284;BRK08;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;A2;DAYZERO PigA2;DAYZERO PigA2 284;284
285;BRK09;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;B1;DAYZERO PigB1;DAYZERO PigB1 285;285
286;BRK10;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;B2;DAYZERO PigB2;DAYZERO PigB2 286;286
287;BRK11;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;C1;DAYZERO PigC1;DAYZERO PigC1 287;287
288;BRK12;1;3;4;PFEC;n;n;DAYZERO;NONE;Pig;C2;DAYZERO PigC2;DAYZERO PigC2 288;288
289;BRK13;1;3;4;Rapeseed;n;n;DAYZERO;EP100;NONE1;NONE1;EP100 NONE1;EP100 NONE1 289;289
290;BRK14;1;3;4;Rapeseed;n;n;DAYZERO;EP100;NONE2;NONE2;EP100 NONE2;EP100 NONE2 290;290
291;BRK15;1;3;4;Soybean;n;n;DAYZERO;EP200;NONE1;NONE1;EP200 NONE1;EP200 NONE1 291;291
292;BRK16;1;3;4;Soybean;n;n;DAYZERO;EP200;NONE2;NONE2;EP200 NONE2;EP200 NONE2 292;292
293;BRK17;1;3;4;Rapeseed;n;y;DAYZERO;EP1199;NONE1;NONE1;EP1199 NONE1;EP1199 NONE1 293;293
294;BRK18;1;3;4;Rapeseed;n;y;DAYZERO;EP1199;NONE2;NONE2;EP1199 NONE2;EP1199 NONE2 294;294
295;BRK19;1;3;4;Soybean;n;y;DAYZERO;EP2299;NONE1;NONE1;EP2299 NONE1;EP2299 NONE1 295;295
296;BRK20;1;3;4;Soybean;n;y;DAYZERO;EP2299;NONE2;NONE2;EP2299 NONE2;EP2299 NONE2 296;296
297;BRK21;1;3;4;POSTIVE;n;n;DAYZERO;POSITIVE;NONE;NONE;POSITIVE NONE;POSITIVE NONE 297;297
298;BRK22;1;3;4;NEGATIVE;n;n;DAYZERO;NEGATIVE;NONE;NONE;NEGATIVE NONE;NEGATIVE NONE 298;298
299;BRK23;1;3;4;PCRCON;n;n;DAYZERO;PCRCON;NONE1;NONE1;PCRCON NONE1;PCRCON NONE1 299;299
300;BRK24;1;3;4;PCRCON;n;n;DAYZERO;PCRCON;NONE2;NONE2;PCRCON NONE2;PCRCON NONE2 300;300
